Date,Not indexed,Indexed,Impressions
2026-04-18,,,363
2026-04-19,,,422
2026-04-20,102,129,375
2026-04-21,105,125,359
2026-04-22,105,125,363
2026-04-23,105,125,321
2026-04-24,105,125,350
2026-04-25,105,125,393
2026-04-26,105,125,369
2026-04-27,105,125,371
2026-04-28,107,120,376
2026-04-29,107,120,330
2026-04-30,107,120,367
2026-05-01,107,120,359
2026-05-02,108,120,366
2026-05-03,108,120,312
2026-05-04,108,120,345
2026-05-05,103,121,331
2026-05-06,103,121,274
2026-05-07,103,121,302
2026-05-08,103,121,359
2026-05-09,102,121,327
2026-05-10,102,121,356
2026-05-11,102,121,338
2026-05-12,100,120,326
2026-05-13,100,120,276
2026-05-14,100,120,327
2026-05-15,100,120,349
2026-05-16,98,121,292
2026-05-17,98,121,317
2026-05-18,98,121,324
2026-05-19,95,123,349
2026-05-20,95,123,353
2026-05-21,95,123,384
2026-05-22,95,123,442
2026-05-23,93,124,469
2026-05-24,93,124,329
2026-05-25,93,124,388
2026-05-26,96,119,283
2026-05-27,96,119,366
2026-05-28,96,119,363
2026-05-29,96,119,353
2026-05-30,98,115,399
2026-05-31,98,115,357
2026-06-01,98,115,381
2026-06-02,101,110,277
2026-06-03,101,110,425
2026-06-04,101,110,352
2026-06-05,101,110,337
2026-06-06,99,111,357
2026-06-07,99,111,411
2026-06-08,99,111,419
2026-06-09,93,114,329
2026-06-10,93,114,400
2026-06-11,93,114,457
2026-06-12,93,114,427
2026-06-13,136,139,490
2026-06-14,136,139,412
2026-06-15,136,139,389
2026-06-16,136,139,407
2026-06-17,136,139,317
2026-06-18,136,139,334
2026-06-19,136,139,381
2026-06-20,136,139,415
2026-06-21,136,139,374
2026-06-22,136,139,469
2026-06-23,136,139,471
2026-06-24,136,139,505
2026-06-25,136,139,343
2026-06-26,136,139,354
2026-06-27,136,139,373
2026-06-28,136,139,362
2026-06-29,136,139,347
2026-06-30,136,139,316
2026-07-01,134,134,416
2026-07-02,134,134,527
2026-07-03,134,134,358
2026-07-04,134,134,411
2026-07-05,134,134,364
2026-07-06,134,134,434
2026-07-07,134,134,466
2026-07-08,134,134,364
2026-07-09,134,134,405
2026-07-10,134,134,471
