Country,Clicks,Impressions,CTR,Position
India,1205,137849,0.87%,10.74
United States,4,14181,0.03%,24.1
United Kingdom,4,2541,0.16%,36.56
Turkey,4,302,1.32%,19.99
Italy,3,329,0.91%,29.16
Philippines,2,347,0.58%,25.12
Nepal,2,75,2.67%,12.77
Algeria,2,56,3.57%,21.05
Brazil,1,2519,0.04%,34.24
Pakistan,1,771,0.13%,9.42
Canada,1,648,0.15%,26.08
Germany,1,521,0.19%,27.17
Bangladesh,1,324,0.31%,19.5
Indonesia,1,290,0.34%,23.71
United Arab Emirates,1,223,0.45%,25.97
Saudi Arabia,1,214,0.47%,16.16
Malaysia,1,204,0.49%,26.69
South Africa,1,200,0.5%,28.41
Thailand,1,120,0.83%,21.47
Colombia,1,101,0.99%,29
Iran,1,84,1.19%,16.46
Sri Lanka,1,47,2.13%,10.15
Switzerland,1,47,2.13%,23.53
Serbia,1,39,2.56%,16.77
Uzbekistan,1,38,2.63%,25.76
Kazakhstan,1,36,2.78%,33
Ethiopia,1,24,4.17%,26.54
Bolivia,1,17,5.88%,35.18
Estonia,1,14,7.14%,16.29
Slovenia,1,14,7.14%,20.29
Zambia,1,11,9.09%,12.55
Cameroon,1,8,12.5%,15.62
Somalia,1,4,25%,4.25
Russia,0,921,0%,32.05
South Korea,0,720,0%,31.28
Vietnam,0,638,0%,30.55
Nigeria,0,592,0%,42.12
France,0,476,0%,27.27
Australia,0,377,0%,26.52
Mexico,0,282,0%,25.71
Spain,0,263,0%,26.4
Argentina,0,253,0%,33.29
Japan,0,223,0%,32.49
Netherlands,0,201,0%,21.05
Ukraine,0,177,0%,29.23
Taiwan,0,156,0%,30.29
Singapore,0,148,0%,29.59
Poland,0,147,0%,21.33
Ecuador,0,135,0%,31.79
Egypt,0,125,0%,29.6
Morocco,0,90,0%,24.69
Sweden,0,86,0%,23.13
Ireland,0,82,0%,28.71
China,0,77,0%,23.52
Unknown Region,0,77,0%,27.51
Iraq,0,74,0%,26.16
